repo,date,week_num,commits,q
tensorflow,2025-10-12,41,284,Q4
tensorflow,2025-10-19,42,207,Q4
tensorflow,2025-10-26,43,282,Q4
tensorflow,2025-11-02,44,316,Q4
tensorflow,2025-11-09,45,262,Q4
tensorflow,2025-11-16,46,238,Q4
tensorflow,2025-11-23,47,240,Q4
tensorflow,2025-11-30,48,320,Q4
tensorflow,2025-12-07,49,256,Q4
tensorflow,2025-12-14,50,379,Q4
tensorflow,2025-12-21,51,133,Q4
tensorflow,2025-12-28,52,91,Q4
tensorflow,2026-01-04,1,379,Q1
tensorflow,2026-01-11,2,208,Q1
